#Material,,
wavelength (nm),n,k
300,1.5,0.01
310,1.5,0.01
320,1.5,0.01
330,1.5,0.01
340,1.5,0.01
350,1.5,0.01
360,1.5,0.01
370,1.5,0.01
380,1.5,0.01
390,1.5,0.01
400,1.5,0.01
410,1.5,0.01
420,1.5,0.01
430,1.5,0.01
440,1.5,0.01
450,1.5,0.01
460,1.5,0.01
470,1.5,0.01
480,1.5,0.01
490,1.5,0.01
500,1.5,0.01
510,1.5,0.01
520,1.5,0.01
530,1.5,0.01
540,1.5,0.01
550,1.5,0.01
560,1.5,0.01
570,1.5,0.01
580,1.5,0.01
590,1.5,0.01
600,1.5,0.01
610,1.5,0.01
620,1.5,0.01
630,1.5,0.01
640,1.5,0.01
650,1.5,0.01
660,1.5,0.01
670,1.5,0.01
680,1.5,0.01
690,1.5,0.01
700,1.5,0.01
710,1.5,0.01
720,1.5,0.01
730,1.5,0.01
740,1.5,0.01
750,1.5,0.01
760,1.5,0.01
770,1.5,0.01
780,1.5,0.01
790,1.5,0.01
800,1.5,0.01
810,1.5,0.01
820,1.5,0.01
830,1.5,0.01
840,1.5,0.01
850,1.5,0.01
860,1.5,0.01
870,1.5,0.01
880,1.5,0.01
890,1.5,0.01
900,1.5,0.01
910,1.5,0.01
920,1.5,0.01
930,1.5,0.01
940,1.5,0.01
950,1.5,0.01
960,1.5,0.01
970,1.5,0.01
980,1.5,0.01
990,1.5,0.01
1000,1.5,0.01
